ngram,rank,freq,cumshare
кто-то,362,3082739,0.417
начала,363,3076950,0.418
мало,364,3070187,0.418
друга,365,3056742,0.418
воды,366,3056633,0.418
большой,367,3056313,0.418
кого,368,3053031,0.419
девушка,369,3043893,0.419
мысли,370,3034512,0.419
раньше,371,3032518,0.419
всей,372,3028114,0.419
внимание,373,3017976,0.420
виде,374,3008261,0.420
ноги,375,2981690,0.420
силы,376,2969607,0.420
конце,377,2964921,0.420
казалось,378,2961938,0.421
наши,379,2961825,0.421
имя,380,2956620,0.421
около,381,2949370,0.421
многие,382,2931983,0.421
области,383,2917559,0.422
нашей,384,2915724,0.422
едва,385,2910579,0.422
наш,386,2908841,0.422
начал,387,2904146,0.422
обычно,388,2886640,0.423
буду,389,2874172,0.423
право,390,2868722,0.423
та,391,2867013,0.423
довольно,392,2844450,0.423
жить,393,2840019,0.424
пути,394,2834749,0.424
дней,395,2830662,0.424
смерти,396,2828807,0.424
города,397,2822370,0.424
сначала,398,2819649,0.425
знает,399,2799557,0.425
работу,400,2787459,0.425
сделал,401,2782512,0.425
туда,402,2779234,0.425
возможность,403,2776880,0.425
организации,404,2764365,0.426
скорее,405,2763353,0.426
найти,406,2758991,0.426
тело,407,2746717,0.426
вновь,408,2743908,0.426
земли,409,2737036,0.427
одну,410,2735449,0.427
мое,411,2728228,0.427
самой,412,2718058,0.427
пять,413,2712782,0.427
которым,414,2711083,0.428
вся,415,2705113,0.428
сюда,416,2701871,0.428
некоторые,417,2701378,0.428
мать,418,2687301,0.428
какие,419,2682396,0.428
истории,420,2679338,0.429
идет,421,2676610,0.429
своими,422,2672804,0.429
думаю,423,2670383,0.429
выше,424,2666779,0.429
качестве,425,2661280,0.430
вперед,426,2658488,0.430
иначе,427,2655831,0.430
одним,428,2636193,0.430
путь,429,2633166,0.430
ж,430,2632938,0.430
наверное,431,2624728,0.431
тобой,432,2622715,0.431
свет,433,2619189,0.431
город,434,2609758,0.431
течение,435,2605209,0.431
весьма,436,2602680,0.432
вид,437,2598409,0.432
знаешь,438,2595975,0.432
самый,439,2595284,0.432
хотелось,440,2589883,0.432
глава,441,2575300,0.432
б,442,2574648,0.433
сильно,443,2570882,0.433
ночь,444,2570725,0.433
ибо,445,2567496,0.433
пришлось,446,2561975,0.433
мере,447,2551245,0.433
бог,448,2548690,0.434
съ,449,2544005,0.434
домой,450,2543795,0.434
разве,451,2540345,0.434
любовь,452,2537910,0.434
войны,453,2527813,0.434
все-таки,454,2524358,0.435
решил,455,2521163,0.435
