ngram,freq,cumshare
till,6006260,0.769
carefully,5998421,0.769
hospital,5988561,0.769
doors,5973062,0.770
dream,5966329,0.770
shit,5957103,0.770
hoped,5955060,0.770
asking,5945752,0.770
third,5942229,0.770
earlier,5933688,0.770
pass,5914799,0.770
re,5906234,0.770
summer,5905955,0.771
clean,5900090,0.771
learned,5885399,0.771
ah,5871579,0.771
forced,5858360,0.771
hotel,5850941,0.771
pick,5844105,0.771
anger,5842913,0.771
strength,5834121,0.771
keeping,5796255,0.771
helped,5784151,0.771
memory,5783267,0.772
reading,5772553,0.772
miles,5772435,0.772
act,5756529,0.772
nature,5755746,0.772
simple,5748703,0.772
ring,5748484,0.772
path,5745469,0.772
usual,5735172,0.772
besides,5733627,0.772
slid,5731643,0.773
bottom,5723395,0.773
cool,5712776,0.773
English,5705592,0.773
worried,5664725,0.773
slipped,5661888,0.773
explained,5659711,0.773
guard,5656253,0.773
older,5624089,0.773
ears,5620826,0.773
spot,5615438,0.774
drove,5613062,0.774
lie,5610821,0.774
bear,5603078,0.774
cheek,5601521,0.774
usually,5592291,0.774
note,5583794,0.774
loud,5578976,0.774
aware,5578484,0.774
easily,5572584,0.774
wild,5564920,0.774
goes,5554022,0.775
wine,5552896,0.775
wore,5548890,0.775
sex,5542840,0.775
smell,5538212,0.775
north,5536007,0.775
difficult,5534872,0.775
fresh,5532773,0.775
laid,5532322,0.775
despite,5530998,0.775
speaking,5530680,0.776
boat,5526112,0.776
crossed,5513526,0.776
explain,5501694,0.776
cover,5498268,0.776
glance,5497437,0.776
cause,5490280,0.776
busy,5486227,0.776
main,5481890,0.776
shouted,5481589,0.776
calm,5468001,0.776
rain,5460413,0.777
softly,5459141,0.777
lights,5456651,0.777
team,5448913,0.777
cry,5445407,0.777
pulling,5439150,0.777
station,5434798,0.777
rock,5429401,0.777
grace,5426460,0.777
understood,5422707,0.777
sudden,5415308,0.777
apartment,5408215,0.778
sharp,5396329,0.778
marriage,5393412,0.778
pale,5387494,0.778
expect,5360714,0.778
fun,5341165,0.778
thin,5338372,0.778
choice,5319806,0.778
garden,5318371,0.778
class,5316039,0.778
silver,5310628,0.778
fuck,5308851,0.779
places,5308002,0.779
desire,5306306,0.779
notice,5305118,0.779
settled,5303350,0.779
using,5295719,0.779
cup,5280993,0.779
gray,5279089,0.779
snow,5272028,0.779
south,5266206,0.779
likely,5253057,0.779
wrapped,5248980,0.780
needs,5246891,0.780
fair,5244345,0.780
kid,5225431,0.780
nobody,5223907,0.780
worth,5222920,0.780
private,5208788,0.780
history,5208570,0.780
offer,5207881,0.780
aside,5189768,0.780
lead,5180257,0.780
putting,5178090,0.780
takes,5172172,0.781
stayed,5161122,0.781
queen,5158983,0.781
experience,5157315,0.781
laughing,5155182,0.781
shop,5154384,0.781
lose,5144463,0.781
seconds,5133754,0.781
cheeks,5131456,0.781
ride,5127302,0.781
unless,5127099,0.781
presence,5123233,0.782
windows,5121757,0.782
ice,5113019,0.782
public,5110307,0.782
horses,5100986,0.782
learn,5089082,0.782
officer,5082574,0.782
wet,5068368,0.782
considered,5064738,0.782
scene,5055611,0.782
shaking,5055188,0.782
crazy,5054636,0.782
stupid,5045815,0.783
village,5043341,0.783
army,5040594,0.783
believed,5036884,0.783
familiar,5035505,0.783
pair,5028026,0.783
surely,5024567,0.783
field,5020535,0.783
wood,5019225,0.783
wished,5013643,0.783
moments,5011365,0.783
spread,5006577,0.784
smoke,4998840,0.784
born,4994162,0.784
sick,4993208,0.784
written,4992333,0.784
impossible,4986982,0.784
service,4981879,0.784
obviously,4979844,0.784
bottle,4976602,0.784
opening,4973922,0.784
escape,4971665,0.784
apart,4962235,0.784
subject,4957251,0.785
jumped,4935767,0.785
gets,4933370,0.785
grinned,4919604,0.785
battle,4914231,0.785
calling,4911532,0.785
spirit,4903021,0.785
paid,4899243,0.785
court,4892757,0.785
hoping,4881538,0.785
ways,4878214,0.785
apparently,4877234,0.785
attack,4872109,0.786
flat,4870598,0.786
struck,4854608,0.786
breakfast,4849673,0.786
leg,4849436,0.786
feelings,4845806,0.786
coat,4841179,0.786
west,4833482,0.786
write,4814207,0.786
wonderful,4807437,0.786
sword,4802194,0.786
locked,4801263,0.786
personal,4783864,0.786
dry,4775390,0.787
train,4765004,0.787
relief,4764733,0.787
level,4757254,0.787
wedding,4752388,0.787
island,4751523,0.787
ass,4747790,0.787
anymore,4744774,0.787
message,4725749,0.787
chief,4720587,0.787
magic,4717726,0.787
disappeared,4716742,0.787
hide,4715789,0.788
buy,4697131,0.788
truck,4694009,0.788
cross,4686680,0.788
begin,4679453,0.788
drop,4677408,0.788
key,4676901,0.788
manner,4668019,0.788
terrible,4666605,0.788
prince,4658319,0.788
writing,4655884,0.788
missed,4650858,0.788
weight,4646564,0.788
lunch,4644152,0.789
chin,4641622,0.789
yours,4641314,0.789
fit,4638289,0.789
stories,4629036,0.789
played,4628519,0.789
cat,4626264,0.789
share,4619683,0.789
thus,4619452,0.789
falling,4617320,0.789
asleep,4610826,0.789
beat,4604284,0.789
American,4603871,0.790
brain,4600323,0.790
system,4595221,0.790
received,4588687,0.790
park,4588014,0.790
art,4587348,0.790
