ngram,freq,cumshare
oído,1461595,0.663
vas,1460871,0.663
gesto,1460462,0.664
responsabilidad,1457500,0.664
española,1457471,0.664
económica,1454727,0.664
medidas,1454396,0.664
opinión,1452386,0.664
compañía,1449674,0.664
oportunidad,1448306,0.664
norte,1448018,0.664
llama,1447930,0.664
cuello,1446161,0.665
hombros,1445700,0.665
acceso,1443070,0.665
pena,1439547,0.665
ejército,1438328,0.665
médico,1436135,0.665
dicha,1434586,0.665
sur,1434102,0.665
marido,1433239,0.665
perdido,1432616,0.665
conseguir,1432100,0.666
escrito,1431826,0.666
esperar,1429229,0.666
destino,1428415,0.666
gestión,1426564,0.666
plazo,1423951,0.666
diferente,1420769,0.666
conocido,1419887,0.666
frecuencia,1419717,0.666
material,1418777,0.666
propios,1417245,0.667
busca,1414946,0.667
pensaba,1413863,0.667
referencia,1411110,0.667
marco,1409082,0.667
normal,1408547,0.667
oro,1408340,0.667
esfuerzo,1406904,0.667
derecha,1406734,0.667
oh,1404985,0.667
régimen,1401198,0.668
mamá,1399951,0.668
crisis,1399909,0.668
siete,1398598,0.668
llevó,1397771,0.668
podrá,1397578,0.668
toma,1397483,0.668
sistemas,1395924,0.668
mes,1390857,0.668
izquierda,1390256,0.668
podían,1386365,0.669
espera,1384796,0.669
feliz,1384761,0.669
podido,1384497,0.669
unidad,1384041,0.669
estuvo,1381819,0.669
menudo,1380021,0.669
tenga,1379831,0.669
construcción,1379160,0.669
rato,1378133,0.669
santa,1377651,0.669
esté,1374777,0.670
objetivos,1373895,0.670
debajo,1373129,0.670
normas,1372353,0.670
peor,1371081,0.670
hablando,1370791,0.670
mayores,1370740,0.670
simple,1370628,0.670
creación,1367671,0.670
profesional,1365286,0.670
precisamente,1365164,0.671
violencia,1364599,0.671
trabajadores,1364512,0.671
directamente,1364404,0.671
completo,1363745,0.671
continuación,1363120,0.671
ámbito,1361908,0.671
esperaba,1361211,0.671
familiar,1360265,0.671
economía,1358493,0.671
enorme,1354694,0.672
di,1354229,0.672
confianza,1350944,0.672
pasos,1350758,0.672
esperanza,1350412,0.672
título,1349088,0.672
distintos,1348940,0.672
diciembre,1348528,0.672
semanas,1345793,0.672
debemos,1344837,0.672
unión,1343787,0.672
ciencia,1342722,0.673
ocasión,1339654,0.673
leyes,1337139,0.673
motivo,1333141,0.673
cambiar,1330607,0.673
fecha,1329653,0.673
factores,1329510,0.673
cargo,1329430,0.673
tendría,1326782,0.673
veo,1322905,0.673
nota,1322845,0.673
conversación,1322331,0.674
local,1322170,0.674
lenguaje,1321731,0.674
encontraba,1321383,0.674
véase,1317467,0.674
necesidades,1316623,0.674
ventana,1316320,0.674
estuviera,1316070,0.674
caer,1314589,0.674
mirar,1313515,0.674
actual,1309983,0.674
chica,1307922,0.675
café,1307320,0.675
produce,1305715,0.675
constitución,1305137,0.675
funciones,1303269,0.675
término,1302867,0.675
piernas,1301687,0.675
dan,1301683,0.675
crecimiento,1296524,0.675
calor,1294921,0.675
participación,1291633,0.675
pequeños,1289920,0.676
condición,1289604,0.676
marcha,1288382,0.676
sector,1287256,0.676
completamente,1285048,0.676
carne,1280290,0.676
intereses,1279979,0.676
precio,1279949,0.676
mayo,1274086,0.676
perder,1272809,0.676
lista,1272271,0.676
salvo,1271878,0.677
circunstancias,1264669,0.677
doctor,1264046,0.677
probablemente,1263855,0.677
obtener,1262458,0.677
alguno,1262177,0.677
militar,1261515,0.677
animales,1261021,0.677
estilo,1260139,0.677
frío,1259509,0.677
corte,1258724,0.677
ambas,1258556,0.678
lugares,1258164,0.678
ambiente,1257990,0.678
reino,1257510,0.678
presión,1254661,0.678
mío,1253419,0.678
acercó,1252546,0.678
crear,1251758,0.678
actitud,1251387,0.678
darle,1250271,0.678
solamente,1249825,0.678
contigo,1248393,0.678
encuentro,1247332,0.679
cualquiera,1247256,0.679
haga,1246812,0.679
siguió,1246351,0.679
contexto,1243349,0.679
piedra,1242061,0.679
cultural,1242059,0.679
creer,1241728,0.679
aparece,1240886,0.679
distintas,1240589,0.679
hermanos,1239704,0.679
segura,1238126,0.680
