ngram,freq,share,cumshare,rank
ensemble,9087857,0.0003,0.5865,253
partir,9042974,0.0003,0.5868,254
art,9040801,0.0003,0.5871,255
hui,9006157,0.0003,0.5874,256
certains,8966933,0.0003,0.5878,257
forme,8956603,0.0003,0.5881,258
seule,8950713,0.0003,0.5884,259
aujourd',8942657,0.0003,0.5887,260
pu,8898430,0.0003,0.589,261
famille,8886193,0.0003,0.5893,262
autant,8882763,0.0003,0.5896,263
fille,8844499,0.0003,0.5899,264
saint,8816203,0.0003,0.5902,265
bras,8796940,0.0003,0.5905,266
heures,8790336,0.0003,0.5908,267
in,8776400,0.0003,0.5912,268
loin,8755948,0.0003,0.5915,269
cours,8732596,0.0003,0.5918,270
étais,8661708,0.0003,0.5921,271
surtout,8648452,0.0003,0.5924,272
vu,8643930,0.0003,0.5927,273
guerre,8586103,0.0003,0.593,274
société,8568348,0.0003,0.5933,275
bonne,8552796,0.0003,0.5936,276
face,8550343,0.0003,0.5939,277
peuvent,8549051,0.0003,0.5942,278
idée,8499184,0.0003,0.5945,279
t',8490606,0.0003,0.5947,280
manière,8486319,0.0003,0.595,281
vue,8438360,0.0003,0.5953,282
choses,8424247,0.0003,0.5956,283
quatre,8416369,0.0003,0.5959,284
aller,8400155,0.0003,0.5962,285
doute,8383728,0.0003,0.5965,286
assez,8356203,0.0003,0.5968,287
mois,8353705,0.0003,0.5971,288
personnes,8323109,0.0003,0.5974,289
amour,8279072,0.0003,0.5977,290
siècle,8264602,0.0003,0.598,291
of,8259655,0.0003,0.5982,292
français,8187387,0.0003,0.5985,293
femmes,8176222,0.0003,0.5988,294
mettre,8156808,0.0003,0.5991,295
nombre,8096072,0.0003,0.5994,296
juste,8018041,0.0003,0.5997,297
parler,8010184,0.0003,0.5999,298
fils,7978479,0.0003,0.6002,299
possible,7973706,0.0003,0.6005,300
autour,7871382,0.0003,0.6008,301
tard,7871052,0.0003,0.601,302
gens,7844440,0.0003,0.6013,303
lors,7805843,0.0003,0.6016,304
aucun,7778256,0.0003,0.6019,305
passé,7764577,0.0003,0.6021,306
mains,7758527,0.0003,0.6024,307
veux,7738690,0.0003,0.6027,308
vraiment,7734122,0.0003,0.6029,309
nature,7712835,0.0003,0.6032,310
heure,7700519,0.0003,0.6035,311
demande,7696344,0.0003,0.6037,312
loi,7677966,0.0003,0.604,313
laquelle,7662126,0.0003,0.6043,314
pris,7640084,0.0003,0.6045,315
rapport,7630796,0.0003,0.6048,316
pourtant,7602160,0.0003,0.6051,317
général,7569237,0.0003,0.6053,318
chambre,7555920,0.0003,0.6056,319
suite,7502683,0.0003,0.6059,320
visage,7486464,0.0003,0.6061,321
lorsqu',7474912,0.0003,0.6064,322
presque,7432439,0.0003,0.6066,323
aucune,7360191,0.0003,0.6069,324
es,7345050,0.0003,0.6072,325
situation,7312104,0.0003,0.6074,326
vos,7310346,0.0003,0.6077,327
soir,7309593,0.0003,0.6079,328
cependant,7283018,0.0003,0.6082,329
parfois,7280638,0.0003,0.6084,330
afin,7226004,0.0003,0.6087,331
trouve,7205006,0.0003,0.6089,332
fort,7196196,0.0003,0.6092,333
ordre,7178176,0.0003,0.6094,334
dernier,7168179,0.0002,0.6097,335
plutôt,7159659,0.0002,0.6099,336
long,7155963,0.0002,0.6102,337
faisait,6973765,0.0002,0.6104,338
passer,6968173,0.0002,0.6107,339
quel,6967559,0.0002,0.6109,340
donner,6936952,0.0002,0.6112,341
peine,6935641,0.0002,0.6114,342
cause,6932707,0.0002,0.6116,343
œuvre,6928777,0.0002,0.6119,344
roi,6928555,0.0002,0.6121,345
or,6865548,0.0002,0.6124,346
force,6815210,0.0002,0.6126,347
dessus,6808817,0.0002,0.6128,348
sujet,6783083,0.0002,0.6131,349
propre,6757662,0.0002,0.6133,350
agit,6744100,0.0002,0.6135,351
tour,6683941,0.0002,0.6138,352
pierre,6637898,0.0002,0.614,353
derrière,6613494,0.0002,0.6142,354
bas,6610411,0.0002,0.6145,355
mise,6588831,0.0002,0.6147,356
vrai,6584279,0.0002,0.6149,357
sûr,6579145,0.0002,0.6152,358
abord,6573301,0.0002,0.6154,359
mots,6567076,0.0002,0.6156,360
sommes,6557304,0.0002,0.6158,361
rue,6549149,0.0002,0.6161,362
mot,6492249,0.0002,0.6163,363
année,6481164,0.0002,0.6165,364
haut,6465850,0.0002,0.6167,365
article,6440479,0.0002,0.617,366
système,6440066,0.0002,0.6172,367
pourrait,6437305,0.0002,0.6174,368
trouver,6426256,0.0002,0.6176,369
and,6393536,0.0002,0.6179,370
semble,6345754,0.0002,0.6181,371
ensuite,6342226,0.0002,0.6183,372
ayant,6339198,0.0002,0.6185,373
action,6294667,0.0002,0.6187,374
service,6269006,0.0002,0.619,375
longtemps,6257231,0.0002,0.6192,376
cinq,6219382,0.0002,0.6194,377
groupe,6195928,0.0002,0.6196,378
livre,6189322,0.0002,0.6198,379
mis,6161938,0.0002,0.62,380
prix,6126928,0.0002,0.6203,381
grands,6124061,0.0002,0.6205,382
plan,6095906,0.0002,0.6207,383
tel,6078607,0.0002,0.6209,384
milieu,6077275,0.0002,0.6211,385
mesure,6031793,0.0002,0.6213,386
mêmes,6031399,0.0002,0.6215,387
permet,6025694,0.0002,0.6217,388
objet,6011221,0.0002,0.6219,389
étant,5967385,0.0002,0.6222,390
êtes,5953613,0.0002,0.6224,391
notamment,5952318,0.0002,0.6226,392
travers,5946276,0.0002,0.6228,393
telle,5944357,0.0002,0.623,394
instant,5943812,0.0002,0.6232,395
niveau,5941809,0.0002,0.6234,396
devait,5928323,0.0002,0.6236,397
